,Date,ReportPeriod,Ticker,Fund,Change
238,2022-10-03,2022-06-30,O,"ICA Group Wealth Management, LLC",2653.1625137329
239,2022-10-03,2022-06-30,ODFL,"ICA Group Wealth Management, LLC",5894.4399719238
240,2022-10-03,2022-06-30,OGE,"ICA Group Wealth Management, LLC",-1754.8656768799
241,2022-10-03,2022-06-30,OTTR,"ICA Group Wealth Management, LLC",-41939.5928344727
242,2022-10-03,2022-06-30,ORCL,"ICA Group Wealth Management, LLC",4799.5645523071
243,2022-10-03,2022-06-30,ORI,"ICA Group Wealth Management, LLC",67.0800018311
244,2022-10-03,2022-06-30,OSK,"ICA Group Wealth Management, LLC",0.0
245,2022-10-03,2022-06-30,NEE,"ICA Group Wealth Management, LLC",3950.4599533081
246,2022-10-03,2022-06-30,OKE,"ICA Group Wealth Management, LLC",382.4829597473
247,2022-10-03,2022-06-30,NXTG,"ICA Group Wealth Management, LLC",0.0
248,2022-10-03,2022-06-30,NUE,"ICA Group Wealth Management, LLC",-16287.9605712891
249,2022-10-03,2022-06-30,NVO,"ICA Group Wealth Management, LLC",328948.880004883
250,2022-10-03,2022-06-30,NVDA,"ICA Group Wealth Management, LLC",5608.829864502
251,2022-10-03,2022-06-30,NUMG,"ICA Group Wealth Management, LLC",-7346.6203918457
252,2022-10-03,2022-06-30,NTCO,"ICA Group Wealth Management, LLC",93920.6706876755
253,2022-10-03,2022-06-30,NSC,"ICA Group Wealth Management, LLC",-27366.1838989258
254,2022-10-03,2022-06-30,NKE,"ICA Group Wealth Management, LLC",-86154.5974273682
255,2022-10-03,2022-06-30,NFLX,"ICA Group Wealth Management, LLC",-48438.9886474609
256,2022-10-03,2022-06-30,OUNZ,"ICA Group Wealth Management, LLC",176229.096902847
257,2022-10-03,2022-06-30,NWL,"ICA Group Wealth Management, LLC",-1199.5200576782
258,2022-10-03,2022-06-30,PPG,"ICA Group Wealth Management, LLC",1479.2363891602
259,2022-10-03,2022-06-30,PETQ,"ICA Group Wealth Management, LLC",119209.006500244
260,2022-10-03,2022-06-30,NAZ,"ICA Group Wealth Management, LLC",0.0
261,2022-10-03,2022-06-30,QUAL,"ICA Group Wealth Management, LLC",-54747.7016448975
262,2022-10-03,2022-06-30,QQQM,"ICA Group Wealth Management, LLC",244569.593521118
263,2022-10-03,2022-06-30,QQQ,"ICA Group Wealth Management, LLC",-176296.119232178
264,2022-10-03,2022-06-30,QCLN,"ICA Group Wealth Management, LLC",-52930.8007736206
265,2022-10-03,2022-06-30,QARP,"ICA Group Wealth Management, LLC",0.0
266,2022-10-03,2022-06-30,PYPL,"ICA Group Wealth Management, LLC",-25282.0786743164
267,2022-10-03,2022-06-30,PXD,"ICA Group Wealth Management, LLC",-32569.680267334
268,2022-10-03,2022-06-30,PSX,"ICA Group Wealth Management, LLC",-52965.5386199951
269,2022-10-03,2022-06-30,PRU,"ICA Group Wealth Management, LLC",-64871.0402069092
