,Ticker,Followers,pct_change_day,pct_change_week,pct_change_month,Date
1302,AVGR,1564,-0.0638977636,0.1921844971,-0.8871989861,2022-10-08T00:00:00.000Z
1303,NWBI,1563,0.0,0.0,0.0,2022-10-08T00:00:00.000Z
1304,NUWE,1562,0.0,0.064061499,0.1924310455,2022-10-08T00:00:00.000Z
1305,ARCB,1553,0.0644329897,0.0,0.2582311168,2022-10-08T00:00:00.000Z
1306,COCP,1552,0.0,0.0644745326,-0.5765534914,2022-10-08T00:00:00.000Z
1307,EVRI,1551,0.0,0.6489292667,0.7142857143,2022-10-08T00:00:00.000Z
1308,ASTL,1547,0.0,0.259235256,0.7161458333,2022-10-08T00:00:00.000Z
1309,RUBY,1546,0.0647249191,-0.0646412411,1.1780104712,2022-10-08T00:00:00.000Z
1310,WEST,1545,0.0,0.0,0.2595717067,2022-10-08T00:00:00.000Z
1311,LCUT,1539,0.0,0.0,-0.0649350649,2022-10-08T00:00:00.000Z
1312,HIW,1535,0.0,-0.0651041667,0.0651890482,2022-10-08T00:00:00.000Z
1313,LION,1527,0.0,-0.1308044474,-0.1308044474,2022-10-08T00:00:00.000Z
1314,KPTI,1526,0.0,-0.1308900524,0.1312335958,2022-10-08T00:00:00.000Z
1315,NS,1523,0.0,0.0657030223,0.0657030223,2022-10-08T00:00:00.000Z
1316,NMTR,1523,-0.0656167979,-0.3272251309,0.1314924392,2022-10-08T00:00:00.000Z
1317,MEOH,1521,0.1316655695,0.2636783125,0.7952286282,2022-10-08T00:00:00.000Z
1318,GKOS,1517,0.0,-0.0658761528,0.1320132013,2022-10-08T00:00:00.000Z
1319,ZYNE,1517,0.0,0.0,-0.1973684211,2022-10-08T00:00:00.000Z
1320,NXTP,1513,0.0,-0.0660501982,0.5984042553,2022-10-08T00:00:00.000Z
1321,TRN,1513,0.0,0.0,-0.1320132013,2022-10-08T00:00:00.000Z
1322,CXW,1511,0.0662251656,0.198938992,0.7333333333,2022-10-08T00:00:00.000Z
1323,DMAC,1509,0.0,0.0,-0.1323626737,2022-10-08T00:00:00.000Z
1324,RDNT,1508,0.0663570007,0.1993355482,0.6675567423,2022-10-08T00:00:00.000Z
1325,CWEN,1504,0.0,0.2666666667,1.8970189702,2022-10-08T00:00:00.000Z
1326,BLMN,1501,0.0,0.1334222815,0.0,2022-10-08T00:00:00.000Z
1327,LQDT,1498,0.0668002672,0.0,0.2677376171,2022-10-08T00:00:00.000Z
1328,NSPR,1472,0.0,-0.1356852103,-0.4059539919,2022-10-08T00:00:00.000Z
