,Ticker,Weekly Views,pct_change_week,pct_change_month,Date
250,FMAO,1711.0,-67.5455235205,-67.8986866792,2022-10-10T00:00:00.000Z
251,GPRO,1711.0,-61.3769751693,-61.3333333333,2022-10-10T00:00:00.000Z
252,NEGG,1703.0,-63.0825926729,-52.7731558514,2022-10-10T00:00:00.000Z
253,BNS,1696.0,-58.2266009852,-53.7622682661,2022-10-10T00:00:00.000Z
254,OSK,1695.0,-43.9854593523,-35.7954545455,2022-10-10T00:00:00.000Z
255,DISH,1694.0,-64.6124921663,-55.9656875487,2022-10-10T00:00:00.000Z
256,BAMR,1691.0,-65.4333605887,-52.9624478442,2022-10-10T00:00:00.000Z
257,BAM,1691.0,-65.4333605887,-52.9624478442,2022-10-10T00:00:00.000Z
258,RA,1691.0,-65.4333605887,-52.9624478442,2022-10-10T00:00:00.000Z
259,GIS,1691.0,-61.3397347965,-65.2272259922,2022-10-10T00:00:00.000Z
260,WDFC,1689.0,-64.2009325986,-63.9410760034,2022-10-10T00:00:00.000Z
261,CHTR,1688.0,-61.5226806474,-62.8929435041,2022-10-10T00:00:00.000Z
262,SIRI,1687.0,-53.8566739606,-54.8568370351,2022-10-10T00:00:00.000Z
263,FRC,1682.0,-50.0,-36.8855534709,2022-10-10T00:00:00.000Z
264,AA,1681.0,-18.9879518072,-21.5951492537,2022-10-10T00:00:00.000Z
265,LEVI,1678.0,-53.1938633194,-50.8782201405,2022-10-10T00:00:00.000Z
266,MRNA,1674.0,-53.8969980722,-62.8989361702,2022-10-10T00:00:00.000Z
267,BCSF,1660.0,-63.2092198582,-59.4627594628,2022-10-10T00:00:00.000Z
268,CP,1647.0,-59.4434868259,-64.5119586296,2022-10-10T00:00:00.000Z
269,G,1638.0,-70.9058614565,-70.9522965065,2022-10-10T00:00:00.000Z
270,PCG,1637.0,-64.1087480816,-73.6689721731,2022-10-10T00:00:00.000Z
271,NEWR,1636.0,-62.7249943039,-35.3615171869,2022-10-10T00:00:00.000Z
272,RCI,1631.0,-64.2402981802,-60.1612115291,2022-10-10T00:00:00.000Z
273,SPLK,1627.0,-61.280342694,-67.486011191,2022-10-10T00:00:00.000Z
274,DUK,1624.0,-77.3089283219,-47.6972624799,2022-10-10T00:00:00.000Z
275,HHLA,1622.0,-63.2948630912,-61.5092548647,2022-10-10T00:00:00.000Z
276,FTNT,1609.0,-47.9119456135,-54.8667601683,2022-10-10T00:00:00.000Z
277,HPE,1603.0,-59.8144898471,-57.1504945202,2022-10-10T00:00:00.000Z
278,GT,1599.0,-60.847208619,-61.0948905109,2022-10-10T00:00:00.000Z
279,AMC,1592.0,-58.9690721649,-70.7406726705,2022-10-10T00:00:00.000Z
280,NODK,1591.0,-63.5593220339,-68.8039215686,2022-10-10T00:00:00.000Z
281,TBBK,1582.0,-58.1370732998,-55.3989286721,2022-10-10T00:00:00.000Z
282,USB,1582.0,-58.1370732998,-55.3989286721,2022-10-10T00:00:00.000Z
283,RVT,1576.0,-50.393452943,-53.8236155875,2022-10-10T00:00:00.000Z
284,PANW,1571.0,-52.2927421804,-58.4611316764,2022-10-10T00:00:00.000Z
285,TRTN,1566.0,-58.8976377953,-61.1799702529,2022-10-10T00:00:00.000Z
286,ALKT,1551.0,-59.1519620753,-60.8333333333,2022-10-10T00:00:00.000Z
287,AMCX,1546.0,-59.4332196274,-53.5596275158,2022-10-10T00:00:00.000Z
288,JCI,1543.0,-63.6941176471,-57.9105291871,2022-10-10T00:00:00.000Z
289,HLF,1542.0,47.9846449136,277.0171149144,2022-10-10T00:00:00.000Z
290,WDAY,1538.0,-61.712720936,-70.0719984433,2022-10-10T00:00:00.000Z
291,CBRE,1532.0,-60.6270881521,-60.3417033394,2022-10-10T00:00:00.000Z
292,IGR,1532.0,-60.6270881521,-60.3417033394,2022-10-10T00:00:00.000Z
293,CBFV,1532.0,-60.6270881521,-60.3417033394,2022-10-10T00:00:00.000Z
294,AVGO,1516.0,-53.9629517158,-58.6131586132,2022-10-10T00:00:00.000Z
295,WDC,1514.0,-59.7875166003,-63.986679353,2022-10-10T00:00:00.000Z
296,IT,1514.0,-59.8621420997,-58.0144204104,2022-10-10T00:00:00.000Z
297,U,1485.0,-58.75,-57.7765140745,2022-10-10T00:00:00.000Z
298,ACM,1485.0,-59.0005521811,-55.6980906921,2022-10-10T00:00:00.000Z
299,ROCL,1481.0,-62.7608750314,-58.7580061264,2022-10-10T00:00:00.000Z
300,IQV,1469.0,-58.5963923337,-56.9208211144,2022-10-10T00:00:00.000Z
301,TU,1463.0,-50.5241799121,-48.2307147912,2022-10-10T00:00:00.000Z
302,DRI,1462.0,-56.1356135614,-46.5252377469,2022-10-10T00:00:00.000Z
303,AAWW,1458.0,-47.7606592619,-46.5738365702,2022-10-10T00:00:00.000Z
304,BMAQ,1455.0,-61.2413425679,-58.0691642651,2022-10-10T00:00:00.000Z
305,SWK,1451.0,-56.8796433878,-51.5364061456,2022-10-10T00:00:00.000Z
306,DG,1449.0,-56.4734154401,-59.6378830084,2022-10-10T00:00:00.000Z
307,CL,1445.0,-61.311914324,-59.5238095238,2022-10-10T00:00:00.000Z
308,SBGI,1444.0,-59.0702947846,-57.9254079254,2022-10-10T00:00:00.000Z
309,PPG,1444.0,-53.5541974912,-52.5,2022-10-10T00:00:00.000Z
310,KN,1442.0,-59.709416038,-85.7945030046,2022-10-10T00:00:00.000Z
311,CNI,1439.0,-57.9976649154,-59.9164345404,2022-10-10T00:00:00.000Z
312,TRIP,1433.0,-63.2186858316,-58.221574344,2022-10-10T00:00:00.000Z
313,RCL,1433.0,-58.2580833091,-60.8362940694,2022-10-10T00:00:00.000Z
