,Date,Ticker,Views,pct_change_week,pct_change_month
109,2018-11-19,MSFT,126.0,-5.2631578947,43.1818181818
110,2018-11-26,MSFT,115.0,-8.7301587302,-11.5384615385
111,2018-12-03,MSFT,114.0,-0.8695652174,-6.5573770492
112,2018-12-10,MSFT,136.0,19.298245614,2.2556390977
113,2018-12-17,MSFT,152.0,11.7647058824,20.6349206349
114,2018-12-24,MSFT,113.0,-25.6578947368,-1.7391304348
115,2018-12-31,MSFT,93.0,-17.6991150442,-18.4210526316
116,2019-01-07,MSFT,125.0,34.4086021505,-8.0882352941
117,2019-01-14,MSFT,117.0,-6.4,-23.0263157895
118,2019-01-21,MSFT,138.0,17.9487179487,22.1238938053
119,2019-01-28,MSFT,126.0,-8.6956521739,35.4838709677
120,2019-02-04,MSFT,100.0,-20.6349206349,-20.0
121,2019-02-11,MSFT,46.0,-54.0,-60.6837606838
122,2019-02-18,MSFT,59.0,28.2608695652,-57.2463768116
123,2019-02-25,MSFT,111.0,88.1355932203,-11.9047619048
124,2019-03-04,MSFT,129.0,16.2162162162,29.0
125,2019-03-11,MSFT,115.0,-10.8527131783,150.0
126,2019-03-18,MSFT,121.0,5.2173913043,105.0847457627
127,2019-03-25,MSFT,95.0,-21.4876033058,-14.4144144144
128,2019-04-01,MSFT,97.0,2.1052631579,-24.8062015504
129,2019-04-08,MSFT,115.0,18.5567010309,0.0
130,2019-04-15,MSFT,102.0,-11.3043478261,-15.7024793388
131,2019-04-22,MSFT,154.0,50.9803921569,62.1052631579
132,2019-04-29,MSFT,74.0,-51.9480519481,-23.7113402062
133,2019-05-06,MSFT,71.0,-4.0540540541,-38.2608695652
134,2019-05-13,MSFT,113.0,59.1549295775,10.7843137255
135,2019-05-20,MSFT,109.0,-3.5398230088,-29.2207792208
136,2019-05-27,MSFT,106.0,-2.752293578,43.2432432432
137,2019-06-03,MSFT,104.0,-1.8867924528,46.4788732394
138,2019-06-10,MSFT,106.0,1.9230769231,-6.1946902655
139,2019-06-17,MSFT,103.0,-2.8301886792,-5.504587156
140,2019-06-24,MSFT,121.0,17.4757281553,14.1509433962
141,2019-07-01,MSFT,111.0,-8.2644628099,6.7307692308
142,2019-07-08,MSFT,100.0,-9.9099099099,-5.6603773585
143,2019-07-15,MSFT,308.0,208.0,199.0291262136
144,2019-07-22,MSFT,118.0,-61.6883116883,-2.479338843
145,2019-07-29,MSFT,115.0,-2.5423728814,3.6036036036
146,2019-08-05,MSFT,126.0,9.5652173913,26.0
147,2019-08-12,MSFT,110.0,-12.6984126984,-64.2857142857
148,2019-08-19,MSFT,141.0,28.1818181818,19.4915254237
149,2019-08-26,MSFT,86.0,-39.0070921986,-25.2173913043
150,2019-09-02,MSFT,111.0,29.0697674419,-11.9047619048
151,2019-09-09,MSFT,103.0,-7.2072072072,-6.3636363636
152,2019-09-16,MSFT,116.0,12.6213592233,-17.7304964539
153,2019-09-23,MSFT,106.0,-8.6206896552,23.2558139535
154,2019-09-30,MSFT,126.0,18.8679245283,13.5135135135
155,2019-10-07,MSFT,147.0,16.6666666667,42.7184466019
156,2019-10-14,MSFT,124.0,-15.6462585034,6.8965517241
157,2019-10-21,MSFT,121.0,-2.4193548387,14.1509433962
158,2019-10-28,MSFT,155.0,28.0991735537,23.0158730159
159,2019-11-04,MSFT,176.0,13.5483870968,19.7278911565
160,2019-11-11,MSFT,195.0,10.7954545455,57.2580645161
161,2019-11-18,MSFT,133.0,-31.7948717949,9.9173553719
162,2019-11-25,MSFT,166.0,24.8120300752,7.0967741935
163,2019-12-02,MSFT,203.0,22.2891566265,15.3409090909
164,2019-12-09,MSFT,193.0,-4.9261083744,-1.0256410256
165,2019-12-16,MSFT,249.0,29.0155440415,87.2180451128
166,2019-12-23,MSFT,163.0,-34.5381526104,-1.8072289157
167,2019-12-30,MSFT,237.0,45.3987730061,16.7487684729
168,2020-01-06,MSFT,369.0,55.6962025316,91.1917098446
169,2020-01-13,MSFT,510.0,38.2113821138,104.8192771084
170,2020-01-20,MSFT,477.0,-6.4705882353,192.6380368098
171,2020-01-27,MSFT,409.0,-14.2557651992,72.5738396624
172,2020-02-03,MSFT,387.0,-5.3789731051,4.8780487805
173,2020-02-10,MSFT,342.0,-11.6279069767,-32.9411764706
174,2020-02-17,MSFT,319.0,-6.7251461988,-33.1236897275
175,2020-02-24,MSFT,434.0,36.0501567398,6.1124694377
176,2020-03-02,MSFT,317.0,-26.9585253456,-18.0878552972
177,2020-03-09,MSFT,265.0,-16.403785489,-22.514619883
178,2020-03-16,MSFT,257.0,-3.0188679245,-19.4357366771
179,2020-03-23,MSFT,252.0,-1.9455252918,-41.935483871
180,2020-03-30,MSFT,356.0,41.2698412698,12.3028391167
181,2020-04-06,MSFT,369.0,3.6516853933,39.2452830189
182,2020-04-13,MSFT,416.0,12.7371273713,61.8677042802
183,2020-04-20,MSFT,446.0,7.2115384615,76.9841269841
184,2020-04-27,MSFT,425.0,-4.7085201794,19.3820224719
185,2020-05-04,MSFT,381.0,-10.3529411765,3.2520325203
186,2020-05-11,MSFT,317.0,-16.7979002625,-23.7980769231
187,2020-05-18,MSFT,372.0,17.3501577287,-16.5919282511
188,2020-05-25,MSFT,311.0,-16.3978494624,-26.8235294118
189,2020-06-01,MSFT,296.0,-4.8231511254,-22.3097112861
190,2020-06-08,MSFT,317.0,7.0945945946,0.0
191,2020-06-15,MSFT,330.0,4.1009463722,-11.2903225806
192,2020-06-22,MSFT,294.0,-10.9090909091,-5.4662379421
193,2020-06-29,MSFT,253.0,-13.9455782313,-14.527027027
194,2020-07-06,MSFT,281.0,11.0671936759,-11.356466877
195,2020-07-13,MSFT,292.0,3.9145907473,-11.5151515152
196,2020-07-20,MSFT,317.0,8.5616438356,7.8231292517
197,2020-07-27,MSFT,335.0,5.6782334385,32.4110671937
198,2020-08-03,MSFT,307.0,-8.3582089552,9.2526690391
199,2020-08-10,MSFT,168.0,-45.2768729642,-42.4657534247
200,2020-08-17,MSFT,121.0,-27.9761904762,-61.8296529968
201,2020-08-24,MSFT,114.0,-5.7851239669,-65.9701492537
202,2020-08-31,MSFT,105.0,-7.8947368421,-65.7980456026
203,2020-09-07,MSFT,126.0,20.0,-25.0
204,2020-09-14,MSFT,119.0,-5.5555555556,-1.652892562
205,2020-09-21,MSFT,133.0,11.7647058824,16.6666666667
206,2020-09-28,MSFT,145.0,9.022556391,38.0952380952
207,2020-10-05,MSFT,115.0,-20.6896551724,-8.7301587302
208,2020-10-12,MSFT,120.0,4.347826087,0.8403361345
209,2020-10-19,MSFT,159.0,32.5,19.5488721805
210,2020-10-26,MSFT,112.0,-29.5597484277,-22.7586206897
211,2020-11-02,MSFT,128.0,14.2857142857,11.3043478261
212,2020-11-09,MSFT,102.0,-20.3125,-15.0
213,2020-11-16,MSFT,150.0,47.0588235294,-5.6603773585
214,2020-11-23,MSFT,137.0,-8.6666666667,22.3214285714
215,2020-11-30,MSFT,112.0,-18.2481751825,-12.5
216,2020-12-07,MSFT,133.0,18.75,30.3921568627
217,2020-12-14,MSFT,117.0,-12.030075188,-22.0
218,2020-12-21,MSFT,189.0,61.5384615385,37.9562043796
219,2020-12-28,MSFT,100.0,-47.0899470899,-10.7142857143
220,2021-01-04,MSFT,133.0,33.0,0.0
221,2021-01-11,MSFT,134.0,0.7518796992,14.5299145299
222,2021-01-18,MSFT,111.0,-17.1641791045,-41.2698412698
223,2021-01-25,MSFT,111.0,0.0,11.0
224,2021-02-01,MSFT,132.0,18.9189189189,-0.7518796992
225,2021-02-08,MSFT,146.0,10.6060606061,8.9552238806
226,2021-02-15,MSFT,157.0,7.5342465753,41.4414414414
227,2021-02-22,MSFT,125.0,-20.3821656051,12.6126126126
228,2021-03-01,MSFT,332.0,165.6,151.5151515152
229,2021-03-08,MSFT,142.0,-57.2289156627,-2.7397260274
230,2021-03-15,MSFT,282.0,98.5915492958,79.6178343949
231,2021-03-22,MSFT,231.0,-18.085106383,84.8
232,2021-03-29,MSFT,219.0,-5.1948051948,-34.0361445783
233,2021-04-05,MSFT,272.0,24.200913242,91.5492957746
234,2021-04-12,MSFT,134.0,-50.7352941176,-52.4822695035
235,2021-04-19,MSFT,123.0,-8.2089552239,-46.7532467532
236,2021-04-26,MSFT,115.0,-6.5040650407,-47.4885844749
237,2021-05-03,MSFT,98.0,-14.7826086957,-63.9705882353
238,2021-05-10,MSFT,167.0,70.4081632653,24.6268656716
239,2021-05-17,MSFT,165.0,-1.1976047904,34.1463414634
240,2021-05-24,MSFT,205.0,24.2424242424,78.2608695652
241,2021-05-31,MSFT,209.0,1.9512195122,113.2653061224
242,2021-06-07,MSFT,213.0,1.9138755981,27.5449101796
243,2021-06-14,MSFT,87.0,-59.1549295775,-47.2727272727
244,2021-06-21,MSFT,42.0,-51.724137931,-79.512195122
245,2021-06-28,MSFT,40.0,-4.7619047619,-80.8612440191
246,2021-07-05,MSFT,49.0,22.5,-76.9953051643
247,2021-07-12,MSFT,38.0,-22.4489795918,-56.3218390805
248,2021-07-19,MSFT,39.0,2.6315789474,-7.1428571429
249,2021-07-26,MSFT,24.0,-38.4615384615,-40.0
250,2021-08-02,MSFT,43.0,79.1666666667,-12.2448979592
251,2021-08-09,MSFT,49.0,13.9534883721,28.9473684211
252,2021-08-16,MSFT,50.0,2.0408163265,28.2051282051
253,2021-08-23,MSFT,56.0,12.0,133.3333333333
254,2021-08-30,MSFT,80.0,42.8571428571,86.0465116279
255,2021-09-06,MSFT,43.0,-46.25,-12.2448979592
256,2021-09-13,MSFT,54.0,25.5813953488,8.0
257,2021-09-20,MSFT,1247.0,2209.2592592593,2126.7857142857
258,2021-09-27,MSFT,984.0,-21.090617482,1130.0
259,2021-10-04,MSFT,90.0,-90.8536585366,109.3023255814
260,2021-10-11,MSFT,40.0,-55.5555555556,-25.9259259259
261,2021-10-18,MSFT,138.0,245.0,-88.9334402566
262,2021-10-25,MSFT,114.0,-17.3913043478,-88.4146341463
263,2021-11-01,MSFT,103.0,-9.649122807,14.4444444444
264,2021-11-08,MSFT,137.0,33.0097087379,242.5
265,2021-11-15,MSFT,35.0,-74.4525547445,-74.6376811594
266,2021-11-22,MSFT,63.0,80.0,-44.7368421053
267,2021-11-29,MSFT,32.0,-49.2063492063,-68.932038835
268,2021-12-06,MSFT,24.0,-25.0,-82.4817518248
269,2021-12-13,MSFT,32.0,33.3333333333,-8.5714285714
270,2021-12-20,MSFT,58.0,81.25,-7.9365079365
271,2021-12-27,MSFT,53.0,-8.6206896552,65.625
