,Date,Ticker,OTC_Short,OTC_Total,DPI
593,2020-04-07,MSFT,13065950,24581531,0.5315352408
594,2020-04-06,MSFT,7788542,22124586,0.3520310843
595,2020-04-03,MSFT,9119973,17657242,0.5165004252
596,2020-04-02,MSFT,9124246,20102290,0.4538908751
597,2020-04-01,MSFT,12767418,22814020,0.5596303501
598,2020-03-31,MSFT,11329383,28837105,0.3928751863
599,2020-03-30,MSFT,9914077,25051962,0.3957405412
600,2020-03-27,MSFT,6552950,14711570,0.4454283261
601,2020-03-26,MSFT,8680144,22228044,0.3905041757
602,2020-03-25,MSFT,9955604,27177369,0.366319639
603,2020-03-24,MSFT,11113421,31440963,0.353469485
604,2020-03-23,MSFT,7599538,28060007,0.2708316502
605,2020-03-20,MSFT,8214932,26440896,0.310690379
606,2020-03-19,MSFT,8256353,28471242,0.2899892109
607,2020-03-18,MSFT,5946884,21474753,0.2769244424
608,2020-03-17,MSFT,7625188,29224396,0.2609185832
609,2020-03-16,MSFT,6809641,27640359,0.2463658667
610,2020-03-13,MSFT,7068088,24982110,0.2829259818
611,2020-03-12,MSFT,8062777,28451532,0.283386392
612,2020-03-11,MSFT,8609845,17248147,0.4991750708
613,2020-03-10,MSFT,6705560,19674246,0.3408293258
614,2020-03-09,MSFT,9728021,20446096,0.4757886787
615,2020-03-06,MSFT,7549609,22095945,0.3416739587
616,2020-03-05,MSFT,5375451,9755451,0.551020245
617,2020-03-04,MSFT,6215178,15016205,0.4138980521
618,2020-03-03,MSFT,11614648,23920419,0.485553702
619,2020-03-02,MSFT,11824022,22355179,0.5289164538
620,2020-02-28,MSFT,9019532,30006399,0.3005869515
621,2020-02-27,MSFT,9698742,28632771,0.3387287245
622,2020-02-26,MSFT,5901123,19084902,0.309203736
623,2020-02-25,MSFT,7730406,22010526,0.3512140509
624,2020-02-24,MSFT,6309967,22922730,0.2752711828
625,2020-02-21,MSFT,5529617,17687138,0.3126349215
626,2020-02-20,MSFT,4647404,13369383,0.3476154434
627,2020-02-19,MSFT,2604911,7962545,0.3271455295
628,2020-02-18,MSFT,3608571,10365224,0.3481421144
629,2020-02-14,MSFT,2831834,8327914,0.3400412156
630,2020-02-13,MSFT,5053377,14407302,0.3507510983
631,2020-02-12,MSFT,6279499,18488864,0.3396368214
632,2020-02-11,MSFT,8976758,21024852,0.4269593907
633,2020-02-10,MSFT,6202936,13304786,0.4662183969
634,2020-02-07,MSFT,5555589,11117443,0.4997182356
635,2020-02-06,MSFT,4402259,9550779,0.4609319303
636,2020-02-05,MSFT,6215837,13890328,0.4474938965
637,2020-02-04,MSFT,5156412,14477230,0.3561739366
638,2020-02-03,MSFT,4355989,9379157,0.4644328909
639,2020-01-31,MSFT,4663347,10822722,0.430884855
640,2020-01-30,MSFT,7656235,18435850,0.4152905887
641,2020-01-29,MSFT,4166017,10786031,0.3862418901
642,2020-01-28,MSFT,2158078,7160382,0.3013914621
643,2020-01-27,MSFT,2397603,7895034,0.3036849493
644,2020-01-24,MSFT,3459268,7600995,0.455107259
645,2020-01-23,MSFT,1653277,4567843,0.3619382277
646,2020-01-22,MSFT,3408076,7471321,0.456154407
647,2020-01-21,MSFT,4034265,7625248,0.5290667267
648,2020-01-17,MSFT,3576681,7418840,0.4821078497
649,2020-01-16,MSFT,3837721,6804390,0.5640066193
650,2020-01-15,MSFT,1674959,5192203,0.3225912007
651,2020-01-14,MSFT,1420403,4530362,0.3135296914
652,2020-01-13,MSFT,1563336,5400960,0.289455208
653,2020-01-10,MSFT,3038716,6092253,0.4987836191
654,2020-01-09,MSFT,1738716,6170906,0.2817602472
655,2020-01-08,MSFT,1792254,7491992,0.239222626
656,2020-01-07,MSFT,2199532,5921094,0.3714739202
657,2020-01-06,MSFT,1546850,5192775,0.2978850422
658,2020-01-03,MSFT,1694744,4077938,0.4155884665
659,2020-01-02,MSFT,2805844,6234396,0.4500586745
660,2019-12-31,MSFT,1722787,4370318,0.3942017492
661,2019-12-30,MSFT,2454524,4824423,0.5087704789
662,2019-12-27,MSFT,2515146,4798295,0.5241749413
663,2019-12-26,MSFT,1609265,3168245,0.5079357815
664,2019-12-24,MSFT,4060902,5080310,0.7993413788
665,2019-12-23,MSFT,1528932,3223612,0.4742915711
666,2019-12-20,MSFT,4251149,7233596,0.5876951104
667,2019-12-19,MSFT,2922490,7325353,0.3989555179
668,2019-12-18,MSFT,2162965,5668198,0.381596585
669,2019-12-17,MSFT,2554215,5363346,0.4762353576
670,2019-12-16,MSFT,1722024,4387745,0.3924621873
671,2019-12-13,MSFT,2519797,5537304,0.4550584544
672,2019-12-12,MSFT,2502253,5640389,0.4436312815
673,2019-12-11,MSFT,2646812,5220684,0.5069856747
674,2019-12-10,MSFT,1595650,4337577,0.3678666684
675,2019-12-09,MSFT,1620396,3891036,0.4164433328
676,2019-12-06,MSFT,1559888,4487873,0.3475784631
677,2019-12-05,MSFT,1099257,4214612,0.2608204504
678,2019-12-04,MSFT,1428104,5403949,0.2642704437
679,2019-12-03,MSFT,2128130,7572443,0.28103612
680,2019-12-02,MSFT,3000646,7034732,0.4265473084
681,2019-11-29,MSFT,885678,3638709,0.2434044602
682,2019-11-27,MSFT,1730693,4872013,0.3552316055
683,2019-11-26,MSFT,1352874,4806374,0.2814749747
684,2019-11-25,MSFT,1567773,5414330,0.2895599271
685,2019-11-22,MSFT,1580687,4461323,0.3543090245
686,2019-11-21,MSFT,1086006,3888188,0.2793090252
687,2019-11-20,MSFT,2183348,6573321,0.3321529559
688,2019-11-19,MSFT,2855032,6689546,0.4267900991
689,2019-11-18,MSFT,2571502,6564394,0.3917348654
690,2019-11-15,MSFT,2008369,5699167,0.352396938
691,2019-11-14,MSFT,1387564,4442403,0.312345368
692,2019-11-13,MSFT,1459051,4967973,0.293691411
693,2019-11-12,MSFT,2076422,5616401,0.3697068639
694,2019-11-11,MSFT,1392235,4771837,0.2917608041
695,2019-11-08,MSFT,1542987,4925695,0.3132526476
696,2019-11-07,MSFT,1329440,4800006,0.2769663205
697,2019-11-06,MSFT,741430,2795044,0.2652659493
698,2019-11-05,MSFT,1395493,4484482,0.3111826516
699,2019-11-04,MSFT,1377512,4932895,0.2792502172
