,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing
104,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,43387.0,345.3587,1390036.0
105,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,27178.0,346.4781,1362858.0
106,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,53924.0,347.3461,1308934.0
107,MSFT,2021-11-22T00:00:00.000Z,Nadella Satya,D,S,41691.0,348.328,1267243.0
108,MSFT,2021-11-11T00:00:00.000Z,Young Christopher David,D,F,10303.0,330.8,100510.0
109,MSFT,2021-11-02T00:00:00.000Z,Althoff Judson,D,S,54757.0,332.2833,139586.0
110,MSFT,2021-11-02T00:00:00.000Z,List Teri,D,G,94.0,0.0,3304.0
111,MSFT,2021-11-01T00:00:00.000Z,SMITH BRADFORD L,D,S,55000.0,328.6009,654820.0
112,MSFT,2021-10-15T00:00:00.000Z,Jolla Alice L.,D,F,178.0,302.75,59366.0
113,MSFT,2021-09-13T00:00:00.000Z,Hogan Kathleen T,A,A,10932.0,0.0,194920.0
114,MSFT,2021-09-13T00:00:00.000Z,Capossela Christopher C,A,A,9789.0,0.0,104204.0
115,MSFT,2021-09-13T00:00:00.000Z,Althoff Judson,A,A,20870.0,0.0,194343.0
116,MSFT,2021-09-13T00:00:00.000Z,Hood Amy,A,A,28986.0,0.0,492254.0
117,MSFT,2021-09-13T00:00:00.000Z,Young Christopher David,A,A,12423.0,0.0,110753.0
118,MSFT,2021-09-13T00:00:00.000Z,SMITH BRADFORD L,A,A,25673.0,0.0,709818.0
119,MSFT,2021-09-10T00:00:00.000Z,Capossela Christopher C,D,S,10000.0,298.8176,94415.0
120,MSFT,2021-09-10T00:00:00.000Z,Hogan Kathleen T,D,S,20000.0,298.677,183988.0
121,MSFT,2021-07-15T00:00:00.000Z,Jolla Alice L.,D,F,178.0,282.51,57132.0
122,MSFT,2021-06-10T00:00:00.000Z,WARRIOR PADMASREE,A,A,8.0,0.0,11880.0
123,MSFT,2021-06-10T00:00:00.000Z,List Teri,A,A,46.0,0.0,3398.0
124,MSFT,2021-06-10T00:00:00.000Z,Hoffman Reid,A,A,24.0,0.0,15805.0
125,MSFT,2021-06-10T00:00:00.000Z,THOMPSON JOHN WENDELL,A,A,85.0,0.0,9011.0
126,MSFT,2021-06-10T00:00:00.000Z,PETERSON SANDRA E,A,A,42.0,0.0,5400.0
127,MSFT,2021-06-10T00:00:00.000Z,PRITZKER PENNY S,A,A,18.0,0.0,12000.0
128,MSFT,2021-06-02T00:00:00.000Z,Walmsley Emma N,D,F,61.0,247.3,5167.0
129,MSFT,2021-06-02T00:00:00.000Z,List Teri,A,A,343.0,0.0,3398.0
130,MSFT,2021-06-02T00:00:00.000Z,Hoffman Reid,A,A,328.0,0.0,15905.0
131,MSFT,2021-06-02T00:00:00.000Z,Johnston Hugh F,A,A,202.0,0.0,68.0
132,MSFT,2021-06-02T00:00:00.000Z,PRITZKER PENNY S,A,A,343.0,0.0,12000.0
133,MSFT,2021-06-02T00:00:00.000Z,STANTON JOHN W,A,A,202.0,0.0,7243.0
134,MSFT,2021-06-02T00:00:00.000Z,Walmsley Emma N,A,A,202.0,0.0,5228.0
135,MSFT,2021-06-02T00:00:00.000Z,SCHARF CHARLES W,A,A,202.0,0.0,525.0
136,MSFT,2021-06-02T00:00:00.000Z,PETERSON SANDRA E,A,A,343.0,0.0,5400.0
137,MSFT,2021-06-02T00:00:00.000Z,WARRIOR PADMASREE,A,A,202.0,0.0,11880.0
138,MSFT,2021-06-02T00:00:00.000Z,THOMPSON JOHN WENDELL,A,A,363.0,0.0,1066.0
139,MSFT,2021-06-01T00:00:00.000Z,Jolla Alice L.,D,F,423.0,249.68,57310.0
140,MSFT,2021-05-07T00:00:00.000Z,THOMPSON JOHN WENDELL,D,J,4589.0,0.0,9011.0
141,MSFT,2021-05-07T00:00:00.000Z,THOMPSON JOHN WENDELL,D,J,4585.0,0.0,9015.0
142,MSFT,2021-05-07T00:00:00.000Z,THOMPSON JOHN WENDELL,A,J,9174.0,0.0,9253.0
